date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:55:53	1053/1053	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Jun%202019%2002:55:52%20GMT	http://localhost/robots.txt		(from )
09:55:57	74780/74780	---MC-	200	added ('OK')	text/html	date:Tue,%2011%20Jun%202019%2002:55:52%20GMT	http://localhost/sieuthioto/	D:/sieuthioto/localhost/sieuthioto/index.html	(from )
09:55:57	231/231	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Jun%202019%2002:55:57%20GMT	https://sieuthitoyota.net/images/favicon/3878icon.png	D:/sieuthioto/sieuthitoyota.net/images/favicon/3878icon.0.delayed	(from http://localhost/sieuthioto/)
09:55:57	27041/27041	---M--	200	added ('OK')	text/css	etag:%2269a1-56c63568a0040%22	http://localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/font-awesome.min.css	D:/sieuthioto/localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/font-awesome.min.css	(from http://localhost/sieuthioto/)
09:55:58	2936/2936	---M--	200	added ('OK')	text/css	etag:%22b78-5499d3e91f800%22	http://localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/owl.carousel.min.css	D:/sieuthioto/localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/owl.carousel.min.css	(from http://localhost/sieuthioto/)
09:55:59	936/936	---M--	200	added ('OK')	text/css	etag:%223a8-5499d3e91f800%22	http://localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/owl.theme.default.min.css	D:/sieuthioto/localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/owl.theme.default.min.css	(from http://localhost/sieuthioto/)
09:56:04	37045/37045	---M--	200	added ('OK')	application/javascript	etag:%2290b5-53871eb147680%22	http://localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/bootstrap.min.js	D:/sieuthioto/localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/bootstrap.min.js	(from http://localhost/sieuthioto/)
09:56:04	13894/13894	---M--	200	added ('OK')	text/css	etag:%223646-55a99f62a0b80%22	http://localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/jquery.fancybox.min.css	D:/sieuthioto/localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/jquery.fancybox.min.css	(from http://localhost/sieuthioto/)
09:56:06	5928/5928	---M--	200	added ('OK')	application/javascript	etag:%221728-55e163846aa80%22	http://localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/jquery.marquee.min.js	D:/sieuthioto/localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/jquery.marquee.min.js	(from http://localhost/sieuthioto/)
09:56:06	121204/121204	---M--	200	added ('OK')	text/css	etag:%221d974-53871eaf5f200%22	http://localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/bootstrap.min.css	D:/sieuthioto/localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/bootstrap.min.css	(from http://localhost/sieuthioto/)
09:56:07	42766/42766	---M--	200	added ('OK')	application/javascript	etag:%22a70e-5499d3e91f800%22	http://localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/owl.carousel.min.js	D:/sieuthioto/localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/owl.carousel.min.js	(from http://localhost/sieuthioto/)
09:56:07	4084/4084	---M--	200	added ('OK')	text/css	etag:%22ff4-543bfb8b16000%22	http://localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/jquery.bxslider.css	D:/sieuthioto/localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/jquery.bxslider.css	(from http://localhost/sieuthioto/)
09:56:08	57095/57095	---M--	200	added ('OK')	text/css	etag:%22df07-546c1d395de00%22	http://localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/animate.css	D:/sieuthioto/localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/animate.css	(from http://localhost/sieuthioto/)
09:56:09	52723/52723	---M--	200	added ('OK')	application/javascript	etag:%22cdf3-55a99f62a0b80%22	http://localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/jquery.fancybox.min.js	D:/sieuthioto/localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/jquery.fancybox.min.js	(from http://localhost/sieuthioto/)
09:56:09	85571/85571	---M--	200	added ('OK')	text/css	etag:%2214e43-5849541c55c00%22	http://localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/style2.css	D:/sieuthioto/localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/style2.css	(from http://localhost/sieuthioto/)
09:56:12	8415/8415	---M--	200	added ('OK')	application/javascript	etag:%2220df-546c1d395de00%22	http://localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/wow.min.js	D:/sieuthioto/localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/wow.min.js	(from http://localhost/sieuthioto/)
09:56:12	19359/19359	---M--	200	added ('OK')	application/javascript	etag:%224b9f-542f5b5331d80%22	http://localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/jquery.bxslider.min.js	D:/sieuthioto/localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/jquery.bxslider.min.js	(from http://localhost/sieuthioto/)
09:56:14	12788/12788	---M--	200	added ('OK')	application/javascript	etag:%2231f4-578c8f32a9600%22	http://localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/site.js	D:/sieuthioto/localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/site.js	(from http://localhost/sieuthioto/)
09:56:15	250621/250621	---M-Z	200	added ('OK')	application/x-javascript	etag:%22529a53ded72be6c2db159e79ed0772ef%22	https://connect.facebook.net/vi_VN/sdk/xfbml.customerchat.js	D:/sieuthioto/connect.facebook.net/vi_VN/sdk/xfbml.customerchat.js	(from http://localhost/sieuthioto/)
09:56:16	11724/11724	---M--	200	added ('OK')	image/png	etag:%222dcc-58a454cff0b33%22	http://localhost/sieuthioto/wp-content/uploads/2019/06/cropped-logo.png	D:/sieuthioto/localhost/sieuthioto/wp-content/uploads/2019/06/cropped-logo.png	(from http://localhost/sieuthioto/)
09:56:18	97163/97163	---M--	200	added ('OK')	application/javascript	etag:%2217b8b-5441b0b0165c0%22	http://localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/jquery.min.js	D:/sieuthioto/localhost/sieuthioto/wp-content/themes/web3s-sieuthioto/jquery.min.js	(from http://localhost/sieuthioto/)
09:56:19	37009/37009	---MC-	200	added ('OK')	text/html	date:Tue,%2011%20Jun%202019%2002:56:15%20GMT	http://localhost/sieuthioto/category/xe-toyota-moi/	D:/sieuthioto/localhost/sieuthioto/category/xe-toyota-moi/index.html	(from http://localhost/sieuthioto/)
09:56:23	37135/37135	---MC-	200	added ('OK')	text/html	date:Tue,%2011%20Jun%202019%2002:56:18%20GMT	http://localhost/sieuthioto/category/xe-toyota-moi/toyota-avanza/	D:/sieuthioto/localhost/sieuthioto/category/xe-toyota-moi/toyota-avanza/index.html	(from http://localhost/sieuthioto/)
09:56:27	37129/37129	---MC-	200	added ('OK')	text/html	date:Tue,%2011%20Jun%202019%2002:56:23%20GMT	http://localhost/sieuthioto/category/xe-toyota-moi/toyota-rush/	D:/sieuthioto/localhost/sieuthioto/category/xe-toyota-moi/toyota-rush/index.html	(from http://localhost/sieuthioto/)
09:57:58	616229/616229	---M--	200	added ('OK')	image/png	etag:%2296725-58a4eb3f27b01%22	http://localhost/sieuthioto/wp-content/uploads/2019/06/banner2.png	D:/sieuthioto/localhost/sieuthioto/wp-content/uploads/2019/06/banner2.png	(from http://localhost/sieuthioto/)
09:58:01	37129/37129	---MC-	200	added ('OK')	text/html	date:Tue,%2011%20Jun%202019%2002:57:58%20GMT	http://localhost/sieuthioto/category/xe-toyota-moi/toyota-vios/	D:/sieuthioto/localhost/sieuthioto/category/xe-toyota-moi/toyota-vios/index.html	(from http://localhost/sieuthioto/)
09:58:03	656757/656757	---M--	200	added ('OK')	image/png	etag:%22a0575-58a4eb72465fb%22	http://localhost/sieuthioto/wp-content/uploads/2019/06/1507top-banner-01-1436x550-1-1024x392-1.png	D:/sieuthioto/localhost/sieuthioto/wp-content/uploads/2019/06/1507top-banner-01-1436x550-1-1024x392-1.png	(from http://localhost/sieuthioto/)
09:58:07	37129/37129	---MC-	200	added ('OK')	text/html	date:Tue,%2011%20Jun%202019%2002:58:03%20GMT	http://localhost/sieuthioto/category/xe-toyota-moi/toyota-wigo/	D:/sieuthioto/localhost/sieuthioto/category/xe-toyota-moi/toyota-wigo/index.html	(from http://localhost/sieuthioto/)
09:58:08	2335/2335	---M--	200	added ('OK')	image/png	etag:%2291f-58a4f6a14aad0%22	http://localhost/sieuthioto/wp-content/uploads/2019/06/5241rtb-1.png	D:/sieuthioto/localhost/sieuthioto/wp-content/uploads/2019/06/5241rtb-1.png	(from http://localhost/sieuthioto/)
09:58:11	23999/23999	---MC-	200	added ('OK')	text/html	date:Tue,%2011%20Jun%202019%2002:58:08%20GMT	http://localhost/sieuthioto/category/danh-gia-xe/	D:/sieuthioto/localhost/sieuthioto/category/danh-gia-xe/index.html	(from http://localhost/sieuthioto/)
09:58:11	2383/2383	---M--	200	added ('OK')	image/png	etag:%2294f-58a4f6b5760ea%22	http://localhost/sieuthioto/wp-content/uploads/2019/06/2849rtb-2.png	D:/sieuthioto/localhost/sieuthioto/wp-content/uploads/2019/06/2849rtb-2.png	(from http://localhost/sieuthioto/)
09:58:14	22993/22993	---MC-	200	added ('OK')	text/html	date:Tue,%2011%20Jun%202019%2002:58:11%20GMT	http://localhost/sieuthioto/category/danh-gia-xe/toyota-rush-danh-gia-xe/	D:/sieuthioto/localhost/sieuthioto/category/danh-gia-xe/toyota-rush-danh-gia-xe/index.html	(from http://localhost/sieuthioto/)
09:58:15	2329/2329	---M--	200	added ('OK')	image/png	etag:%22919-58a4f6cb14cc3%22	http://localhost/sieuthioto/wp-content/uploads/2019/06/7607rtb-3.png	D:/sieuthioto/localhost/sieuthioto/wp-content/uploads/2019/06/7607rtb-3.png	(from http://localhost/sieuthioto/)
